#Name	Chromosome	Start	End	sample1	sample2	sample3
CL_58	1	149308	149310	-1.763	-1.22	-1.326
CL_59	1	308271	308273	-1.483	-2.088	-1.616
CL_60	1	309384	309386	-1.844	-1.786	-1.429
CL_61	1	256629	256631	-1.443	-2.132	-2.033
CL_62	1	183603	183605	-1.529	-1.436	-1.427
CL_63	1	145050	145052	-1.588	-2.201	-1.32
CL_64	1	176976	176978	-2.098	-2.144	-1.754
CL_65	1	340623	340625	-1.958	-1.415	-1.119
CL_66	1	85165	85167	-1.475	-1.95	-1.982
CL_67	1	224219	224221	-1.399	-1.893	-1.268
CL_68	1	367325	367327	-1.348	-1.832	-1.523
CL_69	1	294972	294974	-1.48	-1.324	-1.335
CL_70	1	345762	345764	-1.895	-1.525	-1.52
CL_71	1	214174	214176	-1.848	-1.627	-1.29
CL_72	1	314951	314953	-1.943	-1.679	-1.389
CL_73	1	280781	280783	-1.494	-2.076	-1.59
CL_74	1	103004	103006	-2.177	-1.426	-1.65
CL_75	1	244945	244947	-2.189	-1.567	-1.853
CL_76	1	146517	146519	-1.231	-1.879	-1.979
CL_77	1	294351	294353	-1.769	-1.356	-1.355
CL_78	1	259938	259940	-2.133	-1.601	-2.013
CL_79	1	370476	370478	-1.963	-1.973	-1.67
CL_80	1	304122	304124	-1.686	-1.586	-1.066
CL_81	1	361398	361400	-1.271	-1.341	-1.613
CL_82	1	395290	395292	-2.112	-1.748	-1.945
CL_83	1	124975	124977	-2.115	-1.243	-1.065
CL_84	1	401703	401705	-1.737	-1.295	-1.81
CL_85	1	350472	350474	-1.542	-1.976	-1.065
CL_86	1	148950	148952	-1.225	-2.173	-1.316
CL_87	1	316276	316278	-1.592	-1.552	-1.986
CL_88	1	419789	419791	-1.735	-1.638	-1.735
CL_89	1	227409	227411	-1.783	-2.192	-1.18
CL_90	1	359398	359400	-1.879	-1.791	-1.952
CL_91	1	430176	430178	-1.75	-2.049	-2.015
CL_92	1	324803	324805	-1.428	-2.002	-1.13
CL_93	1	210048	210050	-0.315	-0.122	-0.609
CL_95	1	502581	502583	0.307	-0.173	0.259
CL_96	1	417429	417431	-2.72	2.127	-2.295
CL_97	1	465904	465906	-0.78	-0.347	-0.05
CL_98	1	548615	548617	-1.023	1.031	-0.86
CL_99	1	320728	320730	0.255	0.226	0.394
CL_100	1	407550	407552	0.358	-0.764	0.619
CL_101	1	187488	187490	2.823	-1.683	2.02
CL_102	1	336267	336269	-0.115	0.009	0.08
CL_103	1	214625	214627	0.793	-2.331	1.411
CL_104	1	433690	433692	-0.547	0.735	-0.029
CL_105	1	326062	326064	0.252	0.082	0.021
CL_106	1	565037	565039	0.68	-1.384	0.438
CL_107	1	222470	222472	-1.049	-0.033	-0.935
CL_108	1	280488	280490	-0.542	1.007	-0.441
CL_109	1	452589	452591	0.73	-0.796	1.109
CL_110	1	154369	154371	0.164	-0.458	0.249
CL_111	1	561417	561419	0.432	-1.292	0.757
CL_112	1	250860	250862	-0.482	0.335	-0.821
CL_113	1	590904	590906	-0.78	1.121	-0.804
CL_114	1	329002	329004	0.273	0.444	-0.424
CL_115	1	161488	161490	-0.511	0.215	-0.278
CL_116	1	596050	596052	0.671	-0.21	1.095
CL_117	1	175294	175296	0.672	-0.697	1.348
CL_118	1	455344	455346	0.579	-0.721	0.486
CL_119	1	242442	242444	0.5	-0.951	1.038
CL_120	1	169950	169952	0.69	-0.282	0.409
CL_121	1	570508	570510	1.228	-1.232	0.928
CL_122	1	516615	516617	0.68	-1.425	0.359
CL_123	1	640086	640088	0.387	-0.872	0.406
CL_124	1	384079	384081	-0.275	0.023	-0.329
CL_125	1	656243	656245	-0.024	0.022	0.148
CL_126	1	649104	649106	0.853	-2.018	0.214
CL_127	1	513194	513196	0.014	-1.253	0.302
CL_128	1	709597	709599	-0.77	1.491	-0.9
CL_129	1	375885	375887	-0.2	-0.168	-0.009
CL_130	1	281656	281658	0.158	-0.35	0.071
CL_131	1	180544	180546	-2.992	3.461	-2.99
CL_132	1	644559	644561	-0.088	0.557	-0.127
CL_133	1	410848	410850	0.73	-0.948	0.065
CL_134	1	740984	740986	-0.521	1.585	-1.205
CL_135	1	741885	741887	0.452	-0.313	0.71
CL_136	1	527790	527792	1.122	-1.208	1.603
CL_137	1	257308	257310	-0.79	0.968	-0.793
CL_138	1	416658	416660	1.218	-0.726	0.414
CL_139	1	817252	817254	0.302	-0.441	0.184
CL_140	1	585492	585494	0.248	-0.619	0.617
CL_141	1	772339	772341	1.133	-0.941	0.918
CL_142	1	719405	719407	-0.118	-0.568	0.076
CL_143	1	304263	304265	-0.831	0.633	-0.878
CL_144	1	855662	855664	0.262	0.084	-0.04
CL_145	1	253299	253301	0.212	-0.336	0.321
CL_146	1	594987	594989	-0.801	0.803	-0.604
CL_147	1	226083	226085	-1.2	1.031	-1.812
CL_148	1	871291	871293	-0.382	0.083	-0.473
CL_149	1	574264	574266	1.373	-1.983	1.173
CL_150	1	738858	738860	0.681	-1.069	0.173
CL_151	1	373198	373200	0.353	1.178	-0.528
CL_152	1	282670	282672	0.82	-0.949	0.952
CL_153	1	479350	479352	-0.405	1.421	-0.787
CL_154	1	983749	983751	0.649	-0.588	1.478
CL_155	1	629943	629945	0.274	0.205	0.398
CL_156	1	491443	491445	-0.875	0.098	-1.277
CL_157	1	325584	325586	0.028	-0.728	-0.207
CL_158	1	1014238	1014240	0.818	-0.647	0.9
CL_159	1	622108	622110	-0.387	0.231	-0.084
CL_160	1	295355	295357	0.829	0.515	0.094
CL_161	1	366090	366092	1.236	-1.391	1.279
CL_162	1	1078836	1078838	-2.928	3.177	-2.543
CL_164	1	478971	478973	-0.09	-0.823	0.241
CL_165	1	613431	613433	-0.766	-0.754	-0.342
CL_166	1	588890	588892	-1.837	0.883	-2.5
CL_167	1	812626	812628	-0.777	0.048	-1.079
CL_168	1	310816	310818	-2.121	2.292	-2.17
CL_169	1	372169	372171	-3.376	3.166	-3.101
CL_170	1	696361	696363	0.477	0.136	-0.254
CL_171	1	405846	405848	-0.242	-0.222	0.09
CL_172	1	683076	683078	1.196	-1.437	0.732
CL_173	1	775283	775285	-0.163	0.102	0.063
CL_174	1	850781	850783	-0.613	-0.646	0.055
CL_175	1	639497	639499	0.108	-0.236	0.227
CL_176	1	1056240	1056242	0.243	-0.41	0.316
CL_177	1	403084	403086	0.646	-0.474	0.206
CL_178	1	1227852	1227854	-1.708	2.06	-1.654
CL_179	1	341652	341654	1.164	-0.555	0.854
CL_180	1	346560	346562	-1.156	0.985	-0.907
CL_181	1	753503	753505	-0.269	0.008	-0.826
CL_182	1	1067517	1067519	-0.114	-0.409	-0.339
CL_183	1	1208076	1208078	-1.09	1.05	-1.028
CL_184	1	1030309	1030311	0.85	-1.017	0.828
CL_186	1	1093760	1093762	-0.158	-0.515	0.176
CL_187	1	774917	774919	-1.859	1.633	-1.681
CL_188	1	609167	609169	-0.469	-0.413	-0.028
CL_189	1	977558	977560	0.027	-0.808	0.148
CL_190	1	749756	749758	-0.269	0.095	0.364
CL_191	1	548727	548729	-0.742	0.197	-1.031
CL_192	1	1213793	1213795	1.171	-0.94	1.08
CL_193	1	540903	540905	-0.213	-0.031	0.005
CL_194	1	866315	866317	-1.852	0.95	-1.291
CL_195	1	814173	814175	-0.404	-0.262	-0.548
CL_196	1	1052835	1052837	-1.4	0.117	-0.673
CL_197	1	607267	607269	1.214	-1.006	0.665
CL_198	1	866102	866104	0.622	-0.979	0.181
CL_199	1	1247498	1247500	0.245	-0.442	0.379
CL_200	1	366685	366687	-1.124	0.844	-1.354
CL_201	1	1272510	1272512	0.116	-0.75	0.174
CL_203	1	594510	594512	1.207	-1.377	0.559
CL_204	1	346878	346880	-0.434	0.51	-1.013
CL_205	1	897093	897095	-0.591	0.182	-0.549
CL_206	1	1274647	1274649	0.101	-0.851	0.764
CL_207	1	814325	814327	0.314	-0.718	0.186
CL_208	1	1373555	1373557	0.39	-0.997	0.087
CL_209	1	565939	565941	-0.331	1.035	-0.148
CL_210	1	760401	760403	-0.268	-0.039	-0.839
CL_211	1	477353	477355	-0.163	-0.22	0.576
CL_212	1	1440494	1440496	-1.735	1.246	-1.573
CL_213	1	1193840	1193842	-0.842	0.274	-0.479
CL_214	1	1401903	1401905	-0.436	0.496	-0.612
CL_215	1	932302	932304	0.392	0.237	0.459
CL_216	1	1443685	1443687	-0.15	-0.048	0.623
CL_217	1	872311	872313	1.103	-0.76	0.648
CL_218	1	1076199	1076201	-1.049	2.341	-1.937
CL_220	1	968811	968813	1.323	-1.273	1.155
CL_221	1	1551244	1551246	-0.513	0.17	-0.912
CL_222	1	1568910	1568912	-1.209	1.271	-1.957
CL_223	1	484408	484410	0.149	-0.899	-0.146
CL_224	1	1209702	1209704	0.154	-0.668	0.338
CL_225	1	1488191	1488193	0.596	-0.711	0.845
CL_226	1	1778289	1778291	0.62	-1.3	0.908
CL_227	1	1359807	1359809	-0.507	-0.569	-1.086
CL_228	1	1401659	1401661	0.048	-0.714	-0.272
CL_229	1	572486	572488	0.328	-0.695	0.944
CL_230	1	1049321	1049323	-2.298	0.691	-2.243
CL_231	1	600262	600264	-0.958	0.144	-1.325
CL_232	1	627102	627104	0.43	-0.377	1.314
CL_233	1	1078737	1078739	0.424	-1.273	0.927
CL_234	1	725321	725323	-0.094	0.122	0.089
CL_235	1	1777066	1777068	1.039	-0.971	1.154
CL_236	1	459806	459808	0.793	-0.097	0.427
CL_237	1	1140808	1140810	-0.386	-0.09	-0.386
CL_238	1	1509169	1509171	1.088	-0.833	1.392
CL_239	1	1416583	1416585	-1.357	0.51	-1.041
CL_240	1	464202	464204	0.76	-0.891	0.535
CL_241	1	555575	555577	0.389	-0.777	-0.023
CL_242	1	619307	619309	0.498	-0.892	0.576
CL_243	1	1001454	1001456	-2.695	3.292	-2.935
CL_244	1	921357	921359	-0.895	0.227	-0.406
CL_245	1	757700	757702	-0.222	0.176	-0.094
CL_246	1	1471026	1471028	-0.265	-0.596	-0.536
CL_247	1	1897862	1897864	0.049	-0.361	-0.567
CL_248	1	1418966	1418968	-0.534	0.016	-0.457
CL_249	1	1394956	1394958	-1.807	2.062	-2.119
CL_250	1	1567865	1567867	-1.041	0.634	-1.028
CL_251	1	1277741	1277743	-0.711	0.256	-0.246
CL_252	1	1560083	1560085	1.157	-0.633	1.059
CL_253	1	1902628	1902630	-0.103	-0.028	-0.047
CL_254	1	688791	688793	-1.204	0.135	-0.816
CL_255	1	1857116	1857118	-0.203	0.499	-0.898
CL_256	1	1752927	1752929	-2.579	2.838	-2.65
CL_257	1	684399	684401	-1.979	3.248	-2.26
CL_258	1	1270993	1270995	-0.077	0.276	-0.242
CL_259	1	1573367	1573369	0.607	0.432	0.368
CL_261	1	1856717	1856719	1.006	-0.411	0.444
CL_262	1	1727733	1727735	-0.925	1.747	-1.34
CL_263	1	694846	694848	-0.254	0.207	-1.123
CL_264	1	716529	716531	-0.134	-0.009	-0.154
CL_265	1	1432010	1432012	-1.434	1.166	-1.978
CL_266	1	1578128	1578130	0.689	-0.682	0.699
CL_267	1	1387967	1387969	-0.052	-0.165	-0.295
CL_268	1	1296884	1296886	1.266	-0.827	1.815
CL_269	1	1606990	1606992	1.345	-1.91	1.366
CL_270	1	1182273	1182275	1.187	-1.62	0.93
CL_271	1	1378155	1378157	1.407	-0.647	1.633
CL_272	1	506766	506768	-3.624	3.028	-3.134
CL_273	1	1784326	1784328	0.126	0.317	0.854
CL_274	1	1094539	1094541	-0.313	0.106	-0.183
CL_275	1	1297240	1297242	-1.21	1.205	-1.104
CL_276	1	1175929	1175931	-0.545	-0.269	-0.303
CL_277	1	678751	678753	1.015	-1.424	0.908
CL_278	1	1145284	1145286	1.375	-1.553	1.425
CL_279	1	1640802	1640804	1.275	-0.917	1
CL_280	1	1969967	1969969	1.361	-0.767	0.499
CL_282	1	592079	592081	-0.558	0.555	-0.903
CL_283	1	608017	608019	-1.533	1.696	-1.561
CL_284	1	1235548	1235550	-0.497	0.051	-0.366
CL_285	1	1199561	1199563	0.538	-0.66	0.617
CL_286	1	874189	874191	1.539	-1.813	1.994
CL_287	1	571072	571074	-1.19	1.087	-1.005
CL_288	1	1444629	1444631	-0.426	-0.494	-0.103
CL_289	1	1470730	1470732	1.54	-0.719	1.679
CL_290	1	1261475	1261477	-0.837	1.306	-0.837
CL_291	1	2061441	2061443	-4.311	3.361	-4.127
CL_292	1	952409	952411	1.516	-1.563	1.155
CL_293	1	1922395	1922397	-0.77	0.978	-0.654
CL_294	1	767836	767838	0.56	-1.071	0.62
CL_295	1	2052540	2052542	1.523	-1.186	0.856
CL_296	1	952039	952041	0.576	-0.988	1.254
CL_297	1	1520908	1520910	0.04	-0.164	-0.023
CL_298	1	983027	983029	0.345	-0.708	1.009
CL_299	1	892031	892033	-1.786	0.932	-1.417
CL_300	1	1770524	1770526	1.218	-0.898	1.21
CL_301	1	2122388	2122390	-0.915	1.244	-1.292
CL_302	1	1819713	1819715	1.593	-0.831	1.168
CL_303	1	982111	982113	0.091	-0.721	-0.128
CL_304	1	818245	818247	1.158	-1.646	1.002
CL_305	1	1054724	1054726	-0.135	0.37	-0.908
CL_306	1	1563748	1563750	0.225	1.096	0.523
CL_307	1	1093593	1093595	0.502	-1.355	0.014
CL_308	1	1582680	1582682	-3.167	2.684	-2.475
CL_309	1	2083580	2083582	-1.585	0.48	-1.85
CL_310	1	1231854	1231856	-0.343	-0.168	-1.393
CL_311	1	1764496	1764498	-0.052	0.006	-0.224
CL_312	1	1009680	1009682	0.086	-1.314	-0.501
CL_313	1	1939496	1939498	0.731	-1.011	0.609
CL_316	1	1459177	1459179	0.879	-0.545	-0.143
CL_317	1	808228	808230	-0.6	-0.462	-0.495
CL_318	1	2078882	2078884	0.237	-0.33	-0.644
CL_319	1	856365	856367	0.506	-0.235	-0.673
CL_320	1	1982197	1982199	0.6	-0.4	-0.841
CL_321	1	1894497	1894499	0.63	-1.302	-1.561
CL_323	1	1059572	1059574	0.146	-0.512	-0.777
CL_324	1	1756839	1756841	1.123	-1.529	0.14
CL_325	1	1525473	1525475	0.16	-0.213	-0.125
CL_326	1	862794	862796	-0.615	0.123	-0.77
CL_327	1	915232	915234	0.194	-0.04	-1.182
CL_328	1	1921167	1921169	0.404	-0.15	-0.625
CL_329	1	788921	788923	0.116	-0.709	-1.196
CL_330	1	2355750	2355752	0.407	-0.189	0.117
CL_331	1	1330270	1330272	0.718	-1.494	0.385
CL_332	1	1121567	1121569	0.942	-0.731	-0.88
CL_333	1	1479201	1479203	0.036	-0.473	-0.642
CL_334	1	725025	725027	1.535	-0.808	-0.019
CL_335	1	1364460	1364462	1.243	-0.095	0.652
CL_336	1	1580778	1580780	-0.806	0.454	-2.546
CL_337	1	1931419	1931421	-0.86	0.463	-2.018
CL_338	1	1703726	1703728	0.476	-0.271	-0.685
CL_339	1	1246110	1246112	-0.48	-0.533	-0.521
CL_340	1	830629	830631	0.911	-1.703	-0.572
CL_341	1	2353694	2353696	-0.993	0.767	-1.397
CL_342	1	1139722	1139724	0.389	-0.367	-0.19
CL_343	1	1070974	1070976	0.419	-0.65	-0.442
CL_344	1	1747025	1747027	0.502	0.529	-0.688
CL_345	1	1139494	1139496	1.078	-0.675	0.439
CL_346	1	2318025	2318027	-0.61	0.312	-1.097
CL_347	1	1953773	1953775	0.876	-1.878	-1.102
CL_349	1	1806626	1806628	0.351	-0.813	-1.597
CL_350	1	703255	703257	-0.912	-0.497	-1.686
CL_351	1	1737540	1737542	0.092	-0.461	-1.539
CL_352	1	685654	685656	-0.368	-0.009	-0.841
CL_353	1	842103	842105	0.512	0.044	-0.265
CL_354	1	1267566	1267568	0.181	-0.56	-0.372
CL_355	1	678546	678548	-0.018	-0.474	-0.752
CL_356	1	747869	747871	-0.206	0.084	-1.361
CL_357	1	2213530	2213532	-2.862	3.575	-2.33
CL_358	1	1265228	1265230	-0.662	-0.217	-0.811
CL_359	1	1583140	1583142	0.324	-0.219	-0.518
CL_360	1	1784991	1784993	0.299	0.299	-1.166
CL_361	1	854209	854211	-0.869	0.729	-1.404
CL_362	1	1021998	1022000	-0.278	0.134	-0.439
CL_363	1	2000627	2000629	0.277	-0.421	-1.027
CL_364	1	2366788	2366790	-0.281	0.958	-1.598
CL_365	1	653134	653136	0.393	-1.237	0.165
CL_366	1	2234392	2234394	1.368	-1.463	0.227
CL_367	1	2245488	2245490	1.197	-0.829	-0.595
CL_368	1	2363847	2363849	0.079	0.259	-1.059
CL_369	1	1768746	1768748	-1.904	-0.192	-0.824
CL_370	1	987990	987992	0.734	-0.69	0.225
CL_371	1	1632971	1632973	-0.054	-0.801	-0.627
CL_372	1	2205677	2205679	0.725	-1.35	0.261
CL_373	1	1995505	1995507	-0.073	0.118	-0.836
CL_374	1	1775508	1775510	0.806	0.234	0.146
CL_375	1	2384004	2384006	0.119	-0.49	0.007
CL_376	1	2666096	2666098	1.112	-1.372	0.597
CL_377	1	1509371	1509373	1.258	-0.949	-0.482
CL_378	1	2662403	2662405	-0.385	-0.231	-1.128
CL_379	1	991955	991957	-3.635	3.394	-3.485
CL_381	1	2201969	2201971	-0.568	0.138	-0.844
CL_383	1	1382557	1382559	0.69	-0.079	-0.427
CL_384	1	1029860	1029862	0.203	-0.426	-1.03
CL_385	1	1360073	1360075	0.503	-1.073	0.008
CL_386	1	2244409	2244411	-2.305	2.618	-2.919
CL_387	1	702830	702832	0.347	-0.43	-0.316
CL_388	1	2815920	2815922	-1.194	1.623	-1.844
CL_389	1	2574952	2574954	-1.322	1.032	-2.045
CL_390	1	840903	840905	1.184	-1.427	1.201
CL_391	1	2458055	2458057	-0.4	0.741	-2.12
CL_392	1	2701586	2701588	0.109	-0.449	-0.713
CL_393	1	2490603	2490605	0.964	-0.766	0.608
CL_394	1	853947	853949	-1.852	1.196	-1.959
CL_395	1	917993	917995	0.641	-0.227	0.245
CL_396	1	808992	808994	0.186	0.341	-0.965
CL_397	1	1803194	1803196	0.725	-1.519	0.637
CL_398	1	2425809	2425811	-0.364	0.856	-1.048
CL_399	1	1022137	1022139	0.668	-0.881	-0.027
CL_400	1	2298204	2298206	-0.863	-0.263	-1.166
CL_401	1	2824448	2824450	0.041	0.357	-0.516
CL_402	1	2033288	2033290	-1.191	1.136	-2.081
CL_403	1	2167966	2167968	1.325	-0.524	0.097
CL_404	1	1037102	1037104	1.055	-1.548	0.016
CL_405	1	2292869	2292871	0.212	-1.102	-0.882
CL_406	1	2249225	2249227	-1.638	1.442	-2.832
CL_407	1	1373831	1373833	0.764	-0.781	-0.949
CL_408	1	1557285	1557287	-1.453	1.062	-2.356
CL_409	1	2962603	2962605	0.454	-0.818	-0.238
CL_410	1	1015565	1015567	0.909	-0.715	-0.005
CL_411	1	2130032	2130034	-0.31	0.038	-1.781
CL_413	1	1148948	1148950	1.931	-0.807	0.905
CL_414	1	2050846	2050848	0.063	1.528	-0.769
CL_415	1	2885245	2885247	0.74	-0.83	-0.304
CL_416	1	2270391	2270393	-0.326	-0.326	-1.552
CL_417	1	2350091	2350093	0.291	0.097	-0.635
CL_418	1	952898	952900	0.442	-1.066	-0.443
CL_419	1	1863301	1863303	-1.222	1.802	-2.043
CL_420	1	747638	747640	0.543	-0.793	-1.446
CL_421	1	2177536	2177538	0.827	-0.769	0.495
CL_422	1	1994963	1994965	-0.062	-1.753	-0.178
CL_423	1	2109190	2109192	1.358	-1.423	-0.508
CL_424	1	1868863	1868865	-1.308	0.467	-2.299
CL_425	10	5366	5368	-1.83	2.495	-1.841
CL_426	10	11119	11121	0.94	-0.686	0.601
CL_427	10	6304	6306	0.323	-1.251	-0.25
CL_428	10	10973	10975	1.169	-1.936	1.574
CL_429	10	27327	27329	0.251	-0.171	0.924
CL_430	10	20112	20114	0.131	-1.27	0.548
CL_431	10	48921	48923	0.665	-0.915	0.814
CL_432	10	53840	53842	-0.822	1.571	-1.219
CL_433	10	80164	80166	0.67	-0.3	1.302
CL_434	10	67612	67614	0.3	-0.665	0.697
CL_435	10	106475	106477	0.476	0.013	1.509
CL_436	10	89230	89232	1.009	-1.527	0.619
CL_437	10	52451	52453	0.632	-0.96	0.576
CL_438	10	134274	134276	-0.082	-0.321	-0.417
CL_439	10	64608	64610	-0.272	-0.899	0.581
CL_440	10	49480	49482	-0.883	0.493	-0.228
CL_441	10	37348	37350	-1.327	1.161	-1.247
CL_442	10	119138	119140	-1.889	1.617	-1.905
CL_443	10	133678	133680	1.05	-0.37	0.915
CL_444	10	125173	125175	0.909	-0.575	1.038
CL_445	10	183028	183030	0.438	-1.146	0.308
CL_446	10	197350	197352	-3.008	3.351	-2.157
CL_447	10	143079	143081	-0.217	-1.05	0.288
CL_448	10	165513	165515	-0.307	-0.801	-0.334
CL_449	10	121845	121847	-0.029	1.273	-0.575
CL_450	10	173205	173207	0.749	-0.01	1.091
CL_451	10	64530	64532	0.515	-0.028	0.021
CL_452	10	174209	174211	0.239	-1.235	0.874
CL_453	10	162006	162008	-1.399	0.121	-1.713
CL_454	10	233678	233680	-0.588	-0.778	-0.553
CL_455	10	245725	245727	-0.692	0.464	0.234
CL_456	10	295431	295433	0.126	-1.435	0.646
CL_457	10	266963	266965	-1.084	0.91	-0.563
CL_458	10	326985	326987	1.222	-1.52	1.551
CL_459	10	351456	351458	0.862	0.005	0.307
CL_460	10	275980	275982	1.064	-1.4	0.638
CL_461	10	303654	303656	0.662	-1.129	0.311
CL_462	10	180433	180435	-1.031	1.409	-0.383
CL_463	10	323928	323930	-1.06	1.749	-0.39
CL_464	10	278150	278152	1.015	-0.175	1.343
CL_465	10	404390	404392	0.041	-0.212	0.895
CL_466	10	122393	122395	1.626	-0.869	1.657
CL_467	10	303522	303524	0.432	-1.098	1.035
CL_468	10	338975	338977	0.34	-0.236	0.564
CL_469	10	152265	152267	-1.409	1.292	-1.2
CL_470	10	179307	179309	1.043	-0.322	1.586
CL_471	10	420140	420142	0.384	-0.307	0.998
CL_472	10	409496	409498	1.385	0.193	0.489
CL_474	10	400644	400646	-0.302	0.153	-0.651
CL_475	10	414588	414590	0.741	-0.653	0.383
CL_476	10	576841	576843	0.747	0.073	0.185
CL_477	10	415619	415621	1.129	-1.074	0.604
CL_478	10	391064	391066	1.463	-0.919	1.014
CL_479	10	159294	159296	0.674	-1.237	0.173
CL_480	10	653357	653359	-0.066	-0.075	0.377
CL_481	10	306129	306131	-0.158	-0.334	-0.119
CL_482	10	685646	685648	0.12	-1.691	-0.175
CL_483	10	704412	704414	1.571	-0.566	1.101
CL_484	10	261472	261474	-0.377	0.514	-0.092
CL_485	10	403332	403334	-0.255	-0.282	-0.042
CL_487	10	302939	302941	0.721	-0.346	-0.376
CL_488	10	240448	240450	0.479	-1.843	0.234
CL_489	10	244673	244675	-0.303	-0.237	0.259
CL_490	10	329166	329168	-1.371	1.392	-0.585
CL_491	10	811216	811218	0.624	-0.688	0.445
CL_492	10	432801	432803	0.607	-0.934	1.42
CL_493	10	436243	436245	0.68	0.599	-0.114
CL_494	10	333035	333037	0.142	-0.134	0.091
CL_495	10	215602	215604	2.248	-0.999	2.306
CL_497	10	719654	719656	0.023	-0.994	0.919
CL_498	10	698485	698487	-0.584	0.273	0.046
CL_499	10	414437	414439	0.034	-0.772	0.183
CL_500	10	773697	773699	-1.907	1.538	-1.681
CL_501	10	564858	564860	0.312	0.307	0.17
CL_502	10	396663	396665	-0.286	0.286	-0.157
CL_503	10	574009	574011	0.171	-0.012	1.262
CL_504	10	747764	747766	0.606	-0.332	1.12
CL_505	10	275429	275431	-0.565	-0.822	0.114
CL_506	10	585768	585770	0.476	-0.282	0.806
CL_507	10	392458	392460	-1.11	0.263	-1.428
CL_508	10	662560	662562	-0.089	-0.772	0.724
CL_509	10	408641	408643	0.896	-1.689	0.78
CL_510	10	1024849	1024851	-0.514	0.642	-0.598
CL_511	10	971834	971836	0.672	-1.044	0.352
CL_512	10	522290	522292	-0.723	1.417	-1.044
CL_513	10	436605	436607	0.363	-0.751	-0.293
CL_514	10	825360	825362	0.936	-0.378	1.171
CL_516	10	1132414	1132416	-0.994	1.935	-1.426
CL_517	10	809281	809283	0.697	-1.011	0.031
CL_518	10	689889	689891	-2.32	3.202	-1.791
CL_519	10	731529	731531	-0.771	0.987	-1.616
CL_520	10	648661	648663	-2.51	2.833	-1.783
CL_521	10	972414	972416	-0.751	0.41	0.715
CL_522	10	1114176	1114178	-1.34	1.146	-0.703
CL_523	10	720950	720952	0.467	-0.442	0.559
CL_524	10	722427	722429	-0.812	0.992	-0.593
CL_525	10	503881	503883	0.74	-0.52	0.363
CL_526	10	386406	386408	0.525	-0.982	0.896
CL_527	10	1032172	1032174	0.135	-0.361	1.614
CL_528	10	1198541	1198543	0.174	-0.794	0.076
