#X.UG	UG.End.1
Hs.26322	-500
Hs.324178	500
Hs.171626	-500
Hs.298530	-500
Hs.203475	-500
Hs.441498	500
Hs.77432	-500
Hs.171834	-500
Hs.324473	-500
Hs.134106	500
Hs.75596	500
Hs.81134	-500
Hs.389133	500
Hs.12	-500
Hs.194654	-500
Hs.375031	-500
Hs.143105	500
Hs.170610	500
Hs.183138	-500
Hs.170328	500
Hs.420563	500
Hs.76480	500
Hs.101337	-471.565329935402
Hs.403997	-500
Hs.106552	-500
Hs.293970	-500
Hs.194657	500
Hs.432642	-500
Hs.219140	500
Hs.372548	-433.27662628144
Hs.1741	-500
Hs.68876	500
Hs.191990	60.6126384809613
Hs.421342	-500
Hs.436943	-500
Hs.22315	-500
Hs.315235	-500
Hs.389559	500
Hs.436181	-500
Hs.433615	500
Hs.25441	500
Hs.128316	500
Hs.187199	500
Hs.309415	500
Hs.12229	-500
Hs.353001	500
Hs.39488	399.113139137626
Hs.211586	-500
Hs.385685	-500
Hs.288697	-500
Hs.23348	500
Hs.19545	500
Hs.276005	-500
Hs.257049	-500
Hs.193852	500
Hs.119689	500
Hs.77100	-500
Hs.422334	500
Hs.416959	500
Hs.356270	-500
Hs.287472	500
Hs.440320	500
Hs.499901	395.766946021467
Hs.413501	-500
Hs.291385	-500
Hs.170177	500
Hs.24948	-500
Hs.258561	-500
Hs.271980	74.8207326978445
Hs.285115	-500
Hs.211201	-500
Hs.85087	-58.9917274191976
Hs.236646	500
Hs.251664	500
Hs.257336	196.71481102705
Hs.57856	-500
Hs.63758	-481.884351465851
Hs.271955	-500
Hs.28137	-500
Hs.119651	500
Hs.368746	-500
Hs.279574	-500
Hs.445489	500
Hs.119699	500
Hs.321101	500
Hs.156784	500
Hs.406224	-500
Hs.183105	500
Hs.445917	-500
Hs.105728	-94.5255416445434
Hs.315485	500
Hs.511603	-500
Hs.86172	500
Hs.232008	-500
Hs.225946	-500
Hs.528693	-500
Hs.1780	500
Hs.406917	-500
Hs.48384	-196.083469782025
Hs.325960	500
Hs.1227	-500
Hs.154437	500
Hs.169191	-500
Hs.158497	500
Hs.413099	-500
Hs.137432	500
Hs.194290	500
Hs.512330	500
Hs.71190	-500
Hs.418097	500
Hs.118358	500
Hs.57856	-500
Hs.368085	500
Hs.410316	500
Hs.287616	-500
Hs.352839	500
Hs.422341	500
Hs.151930	-127.704206388444
Hs.444045	-500
Hs.157236	-500
Hs.435092	500
Hs.132325	500
Hs.159628	-500
Hs.407765	-500
Hs.42903	-500
Hs.3454	260.171005502343
Hs.194290	422.931229695678
Hs.216485	500
Hs.54751	-500
Hs.170926	-500
Hs.345444	57.0981111377478
Hs.118483	500
Hs.380830	500
Hs.5298	500
Hs.127797	-500
Hs.425608	-500
Hs.169388	500
Hs.286229	500
Hs.406491	438.292364124209
Hs.188	500
Hs.78712	-236.688188742846
Hs.443625	-500
Hs.83636	-500
Hs.83918	500
Hs.150402	-500
Hs.77502	-500
Hs.149957	500
Hs.6241	-500
Hs.413901	500
Hs.301789	-500
Hs.437056	-113.271400332451
Hs.512700	500
Hs.459132	500
Hs.142498	-500
Hs.388170	500
Hs.131438	-500
Hs.200596	500
Hs.106242	500
Hs.108689	-500
Hs.431861	-500
Hs.60797	-500
Hs.271730	500
Hs.93213	500
Hs.329989	500
Hs.512592	500
Hs.25812	-500
Hs.172847	500
Hs.75117	-500
Hs.17958	-500
Hs.4992	500
Hs.442540	-491.100000217557
Hs.223025	500
Hs.170177	-500
Hs.27184	-500
Hs.76090	-500
Hs.3068	-500
Hs.155079	500
Hs.82646	-96.823782660067
Hs.98493	-500
Hs.440394	-500
Hs.387871	-500
Hs.105700	-500
Hs.443831	-500
Hs.386249	500
Hs.309244	-500
Hs.226440	-500
Hs.443793	500
Hs.149249	500
Hs.12913	500
Hs.438587	-500
Hs.606	500
Hs.78854	500
Hs.460	500
Hs.437178	-50.3306416794658
Hs.371369	500
Hs.447550	500
Hs.448865	-500
Hs.417077	-500
Hs.2253	-500
Hs.458355	500
Hs.241579	-500
Hs.75431	-500
Hs.417029	500
Hs.412836	-500
Hs.444105	500
Hs.73769	-500
Hs.2890	-500
Hs.74441	-500
Hs.521171	500
Hs.56874	-500
Hs.173438	-500
Hs.279899	500
Hs.323032	-120.360960718244
Hs.118552	500
Hs.504892	500
Hs.188401	-500
Hs.62180	500
Hs.386467	500
Hs.7165	-500
Hs.458324	354.763376526535
Hs.493406	500
Hs.82071	-500
Hs.90786	500
Hs.252820	500
Hs.156324	500
Hs.55498	-500
Hs.17377	-500
Hs.137569	500
Hs.280342	500
Hs.73172	500
Hs.410774	-500
Hs.227948	500
Hs.4817	-500
Hs.155566	-68.5867411084473
Hs.81071	-500
Hs.75294	-500
Hs.458404	500
Hs.239176	-344.837161246687
Hs.387725	500
Hs.355722	-500
Hs.514	500
Hs.1360	-500
Hs.418291	500
Hs.443441	500
Hs.227817	500
Hs.270788	500
Hs.444178	-500
Hs.437656	500
Hs.104865	-24.4673481211066
Hs.23823	500
Hs.298469	430.271492805332
Hs.148584	500
Hs.270920	-500
Hs.108530	500
Hs.27769	500
Hs.434102	500
Hs.443435	-325.749423354864
Hs.426324	500
Hs.274413	500
Hs.435673	500
Hs.388226	-500
Hs.295923	-500
Hs.310977	500
Hs.221281	500
Hs.98338	-500
Hs.26058	-500
Hs.244318	-307.931161951274
Hs.24948	169.524110388011
Hs.437844	-500
Hs.246593	500
Hs.309452	500
Hs.368605	500
Hs.99836	493.281851522624
Hs.152414	-500
Hs.302085	500
Hs.436019	500
Hs.54433	-500
Hs.278911	500
Hs.169246	500
Hs.178468	-500
Hs.381008	-500
Hs.362805	500
Hs.438016	-500
Hs.385870	88.1266850046813
Hs.30881	500
Hs.36567	500
Hs.127797	-267.295145895332
Hs.269884	500
Hs.293007	500
Hs.208080	-500
Hs.443292	-6.70798355713487
Hs.124969	500
Hs.133996	-500
Hs.381072	-500
Hs.17936	500
Hs.333550	-500
Hs.23047	-500
Hs.168718	500
Hs.410941	500
Hs.313247	500
Hs.147824	-500
Hs.432466	-500
Hs.378135	500
Hs.109672	500
Hs.235750	-500
Hs.48348	-500
Hs.61441	-500
Hs.40500	-500
Hs.403933	500
Hs.151641	500
Hs.170019	500
Hs.79334	500
Hs.293885	-500
Hs.415220	500
Hs.368557	-36.5719874389470
Hs.436441	-500
Hs.433845	-500
Hs.99936	-500
Hs.2340	500
Hs.407756	500
Hs.82324	500
Hs.413636	500
Hs.494673	-500
Hs.10649	500
Hs.8372	163.602079264820
Hs.165948	-500
Hs.284295	500
Hs.494517	500
Hs.372960	500
Hs.8980	500
Hs.37023	-500
Hs.38972	-500
Hs.58414	-500
Hs.372031	500
Hs.412022	500
Hs.9661	-500
Hs.48554	500
Hs.77266	500
Hs.444354	500
Hs.169875	-500
Hs.26776	500
Hs.37034	500
Hs.160958	500
Hs.89862	500
Hs.77171	-500
Hs.115418	500
Hs.80887	-500
Hs.298530	-500
Hs.1634	-345.542265567929
Hs.155024	-326.738231815398
Hs.102598	500
Hs.151738	-500
Hs.13759	-500
Hs.154718	-125.773097388446
Hs.202453	-500
Hs.2942	500
Hs.439511	500
Hs.336046	500
Hs.188553	500
Hs.408219	500
Hs.526394	500
Hs.145741	143.277519382536
Hs.83341	-500
Hs.133389	-500
Hs.449629	500
Hs.130969	500
Hs.209153	500
Hs.156668	-500
Hs.63335	500
Hs.416372	-500
Hs.183800	-500
Hs.75074	500
Hs.433888	-500
Hs.308061	-500
Hs.434858	-500
Hs.445255	-500
Hs.76289	500
Hs.311346	-500
Hs.165655	500
Hs.408429	-500
Hs.399826	500
Hs.22003	500
Hs.446429	500
Hs.284295	500
Hs.189829	-500
Hs.461532	-500
Hs.512653	-500
Hs.103124	-500
Hs.33455	155.8349840343
Hs.376681	-500
Hs.6856	-500
Hs.108219	500
Hs.510847	500
Hs.440968	500
Hs.106185	500
Hs.472491	-500
Hs.143751	-500
Hs.180533	-500
Hs.440961	-500
Hs.354056	500
Hs.435169	500
Hs.355307	500
Hs.301612	-500
Hs.333417	-500
Hs.28792	-500
Hs.369849	500
Hs.446504	500
Hs.80887	-500
Hs.299558	-500
Hs.116237	500
Hs.132158	-500
Hs.80288	500
Hs.290346	-500
Hs.350966	500
Hs.208641	-500
Hs.46700	-500
Hs.438953	500
Hs.492802	-500
Hs.433615	500
Hs.56045	500
Hs.865	500
Hs.5947	-500
Hs.348415	-500
Hs.432593	-500
Hs.285671	-500
Hs.446394	-500
Hs.259495	500
Hs.22905	500
Hs.308242	500
Hs.467614	-500
Hs.3797	-500
Hs.512719	-500
Hs.54416	-500
Hs.217292	-500
Hs.179852	-500
Hs.437398	500
Hs.178111	500
Hs.90691	500
Hs.323512	254.59076045081
Hs.100431	500
Hs.172944	500
Hs.443753	500
Hs.408515	-500
Hs.9736	500
Hs.283437	-500
Hs.433103	500
Hs.123642	-500
Hs.512094	-17.9655360989273
Hs.379930	-500
Hs.283622	500
Hs.152983	500
Hs.269202	-500
Hs.25829	206.444670911878
Hs.311589	500
Hs.271926	500
Hs.194679	500
Hs.478735	500
Hs.191548	500
Hs.35524	-500
Hs.528712	-500
Hs.18861	-500
Hs.309069	500
Hs.267194	-500
Hs.283610	187.471378594637
Hs.277026	-500
Hs.112023	-500
Hs.4257	-500
Hs.314326	356.535611208528
Hs.44653	-500
Hs.278635	500
Hs.5856	500
Hs.238730	-500
Hs.20159	500
Hs.333383	-500
Hs.121910	-500
Hs.348392	500
Hs.184640	500
Hs.356545	500
Hs.444749	500
Hs.1497	500
Hs.387553	500
Hs.442498	500
Hs.3873	-500
Hs.432976	-489.842814859003
Hs.154023	-25.9972386993468
Hs.76917	-500
Hs.325631	149.401235394180
Hs.426296	-500
Hs.500712	-500
Hs.282260	500
Hs.436683	500
Hs.108222	500
Hs.269902	500
Hs.182454	-500
Hs.433046	-500
Hs.406066	500
Hs.59106	-500
Hs.166994	500
Hs.106185	-500
Hs.15467	500
Hs.448396	-500
Hs.14601	500
Hs.402697	247.302250936627
Hs.73875	500
Hs.506366	500
Hs.418138	-500
Hs.433159	-500
Hs.189527	500
Hs.234249	-500
Hs.444926	-500
Hs.300592	-500
Hs.71719	500
Hs.1735	500
Hs.1466	500
Hs.9651	-500
Hs.434481	290.315588936210
Hs.437008	-500
Hs.411456	-222.170131746680
Hs.528327	-500
Hs.94234	500
Hs.132980	500
Hs.80642	-500
Hs.6838	500
Hs.210628	-500
Hs.432840	500
Hs.351342	500
Hs.76894	500
Hs.107101	500
Hs.515379	-500
Hs.95990	500
Hs.75516	-483.122300356627
Hs.249955	-500
Hs.149846	500
Hs.180919	500
Hs.159087	140.284681692719
Hs.354085	500
Hs.130119	-500
Hs.2210	-500
Hs.118640	-500
Hs.458312	500
Hs.131846	500
Hs.484551	500
Hs.133082	-500
Hs.105134	-500
Hs.409210	52.1565601229668
Hs.283551	500
Hs.239458	500
Hs.83381	109.969708137214
Hs.86905	-500
Hs.439776	500
Hs.82002	-154.958008788526
Hs.75309	-352.086054626852
Hs.2164	-193.637856282294
Hs.78065	-500
Hs.420269	500
Hs.438673	-500
Hs.339425	-500
Hs.406156	-500
Hs.406491	-500
Hs.84190	500
Hs.90093	312.996176071465
Hs.78305	500
Hs.241570	-500
Hs.200586	-500
Hs.438419	500
Hs.416211	500
Hs.415067	-500
Hs.102598	500
Hs.81469	-500
Hs.2891	-500
Hs.272458	-500
Hs.59554	-500
Hs.418097	-500
Hs.32163	-500
Hs.193516	500
Hs.386365	-500
Hs.176977	500
Hs.435609	-500
Hs.141125	-500
Hs.299558	-500
Hs.128453	500
Hs.90875	500
Hs.515157	165.749629959464
Hs.154654	-500
Hs.374524	500
Hs.77929	-500
Hs.396530	-500
Hs.154846	500
Hs.15114	500
Hs.512700	500
Hs.27769	500
Hs.7709	-500
Hs.30026	500
Hs.232116	-500
Hs.124863	-500
Hs.446484	-500
Hs.352591	500
Hs.446531	500
Hs.146958	500
Hs.494517	500
Hs.387222	500
Hs.298735	500
Hs.101439	-500
Hs.75258	-500
Hs.97176	-500
Hs.99785	438.241786323488
Hs.84063	500
Hs.247734	-500
Hs.321687	-500
Hs.194778	500
Hs.417816	-500
Hs.446641	500
Hs.183704	-500
Hs.115176	-500
Hs.129780	-500
Hs.297420	500
Hs.105618	500
Hs.121590	500
Hs.64016	500
Hs.404997	-500
Hs.30209	500
Hs.356876	-500
Hs.177635	-500
Hs.284741	500
Hs.152849	-500
Hs.307526	-500
Hs.105435	-500
Hs.111967	-500
Hs.468675	-500
Hs.497095	500
Hs.433722	-500
Hs.42192	-500
Hs.6360	203.774534165859
Hs.14799	-500
Hs.433345	500
Hs.325531	500
Hs.76662	-500
Hs.408487	500
Hs.355606	500
Hs.254124	-500
Hs.63841	500
Hs.385634	500
Hs.121456	500
Hs.118721	-500
Hs.7094	-500
Hs.105	500
Hs.155185	500
Hs.80658	-500
Hs.20013	500
Hs.356123	500
Hs.309517	500
Hs.381235	-500
Hs.75339	-500
Hs.436976	-500
Hs.376200	-350.718630943447
Hs.79077	500
Hs.10724	500
Hs.10862	286.132609471679
Hs.128218	500
Hs.80132	-500
Hs.188757	-500
Hs.356076	-500
Hs.408	-500
Hs.270532	-500
Hs.370121	500
Hs.381072	500
Hs.439480	-500
Hs.24030	-500
Hs.6788	-500
Hs.357304	500
Hs.435981	-500
Hs.93379	-500
Hs.82916	-135.837560519576
Hs.307905	500
Hs.253309	500
Hs.515144	500
Hs.114360	-500
Hs.25195	500
Hs.138860	-80.7212269864976
Hs.458404	-500
Hs.351413	500
Hs.434886	500
Hs.141125	-500
Hs.1765	500
Hs.107101	500
Hs.74441	-500
Hs.89583	500
Hs.82359	500
Hs.437257	-500
Hs.407994	500
Hs.487565	500
Hs.436000	-500
Hs.521171	-500
Hs.131433	-500
Hs.194657	-500
Hs.160673	-500
Hs.445037	-500
Hs.176626	-500
Hs.211569	500
Hs.444292	500
Hs.172965	-500
Hs.369982	413.495420943946
Hs.355697	-500
Hs.2441	-500
Hs.369761	-500
Hs.346868	-500
Hs.25156	-500
Hs.227777	500
Hs.227750	500
Hs.324470	-500
Hs.467614	-500
Hs.333141	500
Hs.355398	500
Hs.49421	-338.65453209728
Hs.390407	500
Hs.87246	500
Hs.25010	-426.392636727542
Hs.279843	-500
Hs.87	500
Hs.128316	500
Hs.273415	-500
Hs.116784	-500
Hs.153961	500
Hs.160958	172.449559904635
Hs.172847	458.97280331701
Hs.173894	500
Hs.128271	500
Hs.240457	-500
Hs.178137	-500
Hs.380403	500
Hs.374097	-325.980850029737
Hs.443435	500
Hs.174142	-500
Hs.437922	-199.592635035515
Hs.5636	172.130351420492
Hs.89791	500
Hs.110713	500
Hs.436421	500
Hs.442675	500
Hs.166071	-500
Hs.220529	-500
Hs.190587	-500
Hs.82112	-500
Hs.506182	-500
Hs.444340	500
Hs.162086	500
Hs.85137	500
Hs.404081	500
Hs.1742	-215.623457916081
Hs.285346	500
Hs.377199	500
Hs.446567	500
Hs.194143	-500
Hs.417628	500
Hs.413518	500
Hs.132773	500
Hs.25766	-500
Hs.349227	-500
Hs.155644	-494.454179424793
Hs.337251	500
Hs.166311	500
Hs.148576	500
Hs.44439	500
Hs.119285	500
Hs.279905	500
Hs.438072	-500
Hs.439631	500
Hs.25674	500
Hs.100261	-500
Hs.100960	-500
Hs.262150	-500
Hs.75859	-97.045311704278
Hs.75087	-403.614623937756
Hs.169388	497.74561310187
Hs.8878	-500
Hs.130098	-31.5402401611209
Hs.257697	500
Hs.444340	-500
Hs.177136	-500
Hs.386404	-237.042095977813
Hs.57664	-500
Hs.326391	-500
Hs.157106	209.010427352041
Hs.128866	500
Hs.503546	-500
Hs.46348	500
Hs.24983	80.9527304954827
Hs.18889	500
Hs.7744	500
Hs.28393	500
Hs.22065	-500
Hs.301478	500
Hs.41007	500
Hs.128410	500
Hs.179915	-262.455630581826
Hs.502275	-500
Hs.380417	500
Hs.19469	-500
Hs.2280	-500
Hs.75256	-416.272692382336
Hs.93304	-500
Hs.196176	-500
Hs.15432	500
Hs.193264	500
Hs.144949	353.737031109631
Hs.53263	-500
Hs.19322	500
Hs.278675	500
Hs.416216	500
Hs.397638	-500
Hs.287955	-500
Hs.101539	500
Hs.153704	500
Hs.111554	-500
Hs.271896	-500
Hs.528334	500
Hs.104119	500
Hs.369815	500
Hs.446513	-500
Hs.505587	-500
Hs.442844	-500
Hs.530903	500
Hs.134846	-500
Hs.12229	-34.6958427689970
Hs.137354	-500
Hs.2534	500
Hs.75486	500
Hs.2499	500
Hs.492779	500
Hs.1528	500
Hs.145949	500
Hs.184510	-500
Hs.401414	500
Hs.1735	500
Hs.2420	500
Hs.348446	-500
Hs.902	-94.2814373411238
Hs.12940	-500
Hs.111867	-500
Hs.55999	500
Hs.157307	500
Hs.163725	500
Hs.354056	500
Hs.432453	500
Hs.90572	-500
Hs.133234	500
Hs.439523	500
Hs.308053	-500
Hs.410900	-500
Hs.318567	-500
Hs.390428	-500
Hs.36927	-302.075219806284
Hs.82502	500
Hs.156892	500
Hs.13495	500
Hs.235860	500
Hs.207224	-500
Hs.26433	500
Hs.444619	-500
Hs.92261	500
Hs.82520	500
Hs.356742	500
Hs.436497	500
Hs.284250	500
Hs.444372	-500
Hs.121044	500
Hs.148916	-500
Hs.7089	-500
Hs.362807	-500
Hs.433455	-500
Hs.421342	500
Hs.73090	-500
Hs.4994	-500
Hs.408658	10.9149981290102
Hs.17200	-500
Hs.115325	-56.2504213303328
Hs.437083	500
Hs.83731	500
Hs.154320	-500
Hs.423077	500
Hs.1349	500
Hs.434408	500
Hs.290581	500
Hs.440320	-500
Hs.172847	500
Hs.381928	-500
Hs.411308	260.858016554266
